Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,valid_in,in_x_flat[1023:0],en,valid_out,prob_flat[1023:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
31,31,0,0,1,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,1,0,0229001e0004005b000201540154015404000400040004000000040004000400001b000200ee0400040001300400040001280011040004000400000500400025000900030143040100a100000000003e00000033000001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
32,32,0,0,1,09b406a3fced0936f8a90330f75b06e0064902cafe430bf8f8a9fada051cfa46f6b7fde30495f6c009e60474f5e9f8a1fe8403c705bbf827f80803f6fc6904c7024efaa5030afe7affc20942fea2f5e8fe0e02a5fec60b05fb8c040af98ffa55fa300a1f0b31024a0486033c029afbedf857fdeaf88204d3ff61fa150b5dfab1,1,0,0400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400
33,33,0,0,1,08370b23fe5a0726fde3fc4503830a53fb2bf653f70ffddff8ed087bfe7df8c90315f65a01a70737063d00a6077e03d1fda0f95005c4f7b4ffa3fad000f707610bd1054c0605f7ca085ffdf4065cfa9906f30551fe56f450f53bf55603d9f9ebf4c00adafbec030bfbc1f64bfa4e049af6d4faa8ff0f03610909044bf75a0935,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
34,34,0,0,1,03ad03ae009103b0f918fe4ef5f1f4f4f6e8f58fff3ffcb0f95405ecfded049c06b2f8e5fd90043f06360691f824f96bfce80a6f09e6fd06ff41f459fbba02d10b79f58500bffb6a03640141fe5d0018fe7d02a006910a94fdbe0993046cfe9bf669020b02dd06990643fabd06ea098c046bf61506a7ff9c06cb06890194f8c3,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35,35,0,0,1,f6290a5d095703b0ff7effe6f93af51cfe20faacfd3efa9c00a5f52905b9fb32f53af4eb08040900f94ff814f578ff1ff517fa9e08faf42cf9550000f6b1004b0820f83e0957fd130bb506e2fa8d0bd00756074ef65f0bebfe6afaee06feff5908510633fd81f590f6a3075a005a086bfd01fba4ffd80ad7f516043af99cfc4a,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,36,0,0,1,037cf4170852045d034e04000a6cf549f9adfa11f54afe9bff1ffe200165ff92f4e501d20924f797ff3002bc02d1ff40064f03c0f74afd740aa6083afd1700900660fd53040401d7fb33fb15fd5dfd39f9f000fd096cfa3efa5ff5e3060509da06700525f9690bcf059cf484fd31f65705bb0623fb59f7f608e1091d051cf69d,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37,37,0,0,1,f450f4bbfb2cfd1000fd0235fc56fbe506620a8601e7fd0c0352087d089ef6acf6dc0ac50b16f55102e302ccf85a0a9a034ffc210428fff0f8bffd62fadef4f50a300118f9a4093e086cfbc10539f808f7e10447f8c7f9df0770f5500bf808610743023f0280049e05e10b76fbf4fbaf079bf9c602bb01b6fc13fc72f53f0212,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
38,38,0,0,1,0b5af44dfb7106680a62f5b20a8f045d05dd0a6201e3fed40367f48d073dfd22ff9af4e9fafa07ab0497f42ef96ef63e023cf54906fefd4903f800fff61cf6ef0b2e0010016300140387ff19f8ad04e9fee40adb0080f892fa86fe9e01aafe56f56afcd80b4005350a85fa9dfec2fc040abcfd77f9140a77076efdf002f50524,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
39,39,0,0,1,061307b6fa6302110859fd6afc0dfe99f5620b8f0803044a043d0954017e03d307da03100004f81902be0147fd76025c00aff944088c019c0a630871f4bdf46ff829027d05ee04e909130b1fff22fff00acf067d0986f78808890ab801ec00deff56f69ffebe0894005bf95ffe1bf934f42bfdc5fc8604030577f913fb6505fb,1,0,0154015401540154015401540154015401540154015401540154015401540154012801280128012801280128012801280128012801280128012801280128012801430143014301430143014301430143014301430143014301430143014301430154015401540154015401540154015401540154015401540154015401540154
40,40,0,0,1,02d2fdb7fc52098f0948f87d0b0cf602fccdf8a40a5908000ae3f7750375fde5ffdd0b550ad908bef972fe1108df0068f92c0300fb3c06ffff4101def82e043404d40a13f4ee097f080ffdad0b1e0a0ffe54089e0995fd94fcabfddefbedf67ff736fe3afb650ac6fccbf4d4f8ae0536f5f8f7affd7800fbf710fc80fe08f434,1,0,0154015401540154015401540154015401540154015401540154015401540154012801280128012801280128012801280128012801280128012801280128012801430143014301430143014301430143014301430143014301430143014301430154015401540154015401540154015401540154015401540154015401540154
