Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,valid_in,in_x_flat[1023:0],en,valid_out,prob_flat[1023:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
31,31,0,0,1,fa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55d,1,0,0400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400040004000400
32,32,0,0,1,00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
33,33,0,0,1,061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
34,34,0,0,1,fa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55d,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
35,35,0,0,1,00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
36,36,0,0,1,061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
37,37,0,0,1,fa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55dfa60042dffbff46a0a79f8b9fbccf55d,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
38,38,0,0,1,00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a00f70ac00a9909d6ff4df72dff900b2a,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
39,39,0,0,0,061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
40,40,0,0,0,061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be061d061dfde20b13fbcf0b26042bf5be,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
